Country,Month,Day,Year,Hour,AvgTemperature,Precipitation,Status
Philippines,1,1,2009,600,24°C,0.5 mm,Moderate rain at times
Philippines,1,1,2009,900,25°C,0.2 mm,Patchy rain possible
Philippines,1,1,2009,1200,26°C,0.1 mm,Patchy rain possible
Philippines,1,1,2009,1500,24°C,0.0 mm,Overcast
Philippines,1,1,2009,1800,24°C,0.0 mm,Overcast
Philippines,1,2,2009,600,23°C,0.0 mm,Overcast
Philippines,1,2,2009,900,25°C,0.0 mm,Overcast
Philippines,1,2,2009,1200,24°C,0.0 mm,Overcast
Philippines,1,2,2009,1500,24°C,0.0 mm,Overcast
Philippines,1,2,2009,1800,23°C,0.0 mm,Overcast
Philippines,1,3,2009,600,23°C,0.0 mm,Overcast
Philippines,1,3,2009,900,23°C,0.0 mm,Overcast
Philippines,1,3,2009,1200,24°C,0.0 mm,Partly cloudy
Philippines,1,3,2009,1500,24°C,0.0 mm,Partly cloudy
Philippines,1,3,2009,1800,23°C,0.0 mm,Partly cloudy
Philippines,1,4,2009,600,23°C,0.0 mm,Overcast
Philippines,1,4,2009,900,25°C,0.0 mm,Cloudy
Philippines,1,4,2009,1200,26°C,0.0 mm,Cloudy
Philippines,1,4,2009,1500,25°C,0.0 mm,Cloudy
Philippines,1,4,2009,1800,23°C,0.0 mm,Cloudy
Philippines,1,5,2009,600,23°C,0.0 mm,Cloudy
Philippines,1,5,2009,900,25°C,0.0 mm,Overcast
Philippines,1,5,2009,1200,26°C,0.0 mm,Overcast
Philippines,1,5,2009,1500,25°C,0.0 mm,Overcast
Philippines,1,5,2009,1800,24°C,0.0 mm,Cloudy
Philippines,1,6,2009,600,24°C,0.0 mm,Overcast
Philippines,1,6,2009,900,25°C,0.0 mm,Overcast
Philippines,1,6,2009,1200,25°C,0.0 mm,Overcast
Philippines,1,6,2009,1500,26°C,0.0 mm,Overcast
Philippines,1,6,2009,1800,24°C,0.0 mm,Cloudy
Philippines,1,7,2009,600,25°C,0.0 mm,Cloudy
Philippines,1,7,2009,900,26°C,1.1 mm,Heavy rain at times
Philippines,1,7,2009,1200,27°C,0.0 mm,Partly cloudy
Philippines,1,7,2009,1500,26°C,0.0 mm,Cloudy
Philippines,1,7,2009,1800,25°C,0.0 mm,Cloudy
Philippines,1,8,2009,600,24°C,0.2 mm,Patchy rain possible
Philippines,1,8,2009,900,25°C,1.7 mm,Moderate or heavy rain shower
Philippines,1,8,2009,1200,26°C,0.0 mm,Overcast
Philippines,1,8,2009,1500,24°C,2.7 mm,Moderate or heavy rain shower
Philippines,1,8,2009,1800,24°C,0.0 mm,Overcast
Philippines,1,9,2009,600,24°C,1.4 mm,Heavy rain at times
Philippines,1,9,2009,900,24°C,0.2 mm,Patchy rain possible
Philippines,1,9,2009,1200,25°C,0.2 mm,Patchy rain possible
Philippines,1,9,2009,1500,24°C,1.5 mm,Moderate or heavy rain shower
Philippines,1,9,2009,1800,23°C,0.2 mm,Patchy rain possible
Philippines,1,10,2009,600,23°C,0.0 mm,Overcast
Philippines,1,10,2009,900,23°C,0.0 mm,Overcast
Philippines,1,10,2009,1200,23°C,0.0 mm,Overcast
Philippines,1,10,2009,1500,23°C,0.0 mm,Overcast
Philippines,1,10,2009,1800,22°C,0.0 mm,Overcast
Philippines,1,11,2009,600,22°C,0.0 mm,Overcast
Philippines,1,11,2009,900,23°C,0.0 mm,Cloudy
Philippines,1,11,2009,1200,24°C,0.0 mm,Cloudy
Philippines,1,11,2009,1500,23°C,0.0 mm,Cloudy
Philippines,1,11,2009,1800,22°C,0.0 mm,Cloudy
Philippines,1,12,2009,600,22°C,0.0 mm,Cloudy
Philippines,1,12,2009,900,24°C,0.0 mm,Cloudy
Philippines,1,12,2009,1200,25°C,0.0 mm,Cloudy
Philippines,1,12,2009,1500,23°C,0.0 mm,Cloudy
Philippines,1,12,2009,1800,22°C,0.0 mm,Overcast
Philippines,1,13,2009,600,23°C,0.0 mm,Cloudy
Philippines,1,13,2009,900,24°C,0.0 mm,Overcast
Philippines,1,13,2009,1200,23°C,0.0 mm,Overcast
Philippines,1,13,2009,1500,23°C,0.0 mm,Overcast
Philippines,1,13,2009,1800,22°C,0.0 mm,Overcast
Philippines,1,14,2009,600,21°C,0.0 mm,Overcast
Philippines,1,14,2009,900,23°C,0.0 mm,Overcast
Philippines,1,14,2009,1200,22°C,0.0 mm,Overcast
Philippines,1,14,2009,1500,22°C,0.0 mm,Overcast
Philippines,1,14,2009,1800,21°C,0.0 mm,Overcast
Philippines,1,15,2009,600,21°C,0.0 mm,Overcast
Philippines,1,15,2009,900,21°C,0.0 mm,Overcast
Philippines,1,15,2009,1200,22°C,0.0 mm,Overcast
Philippines,1,15,2009,1500,23°C,0.0 mm,Overcast
Philippines,1,15,2009,1800,21°C,0.0 mm,Cloudy
Philippines,1,16,2009,600,21°C,0.0 mm,Overcast
Philippines,1,16,2009,900,23°C,0.0 mm,Overcast
Philippines,1,16,2009,1200,24°C,0.0 mm,Overcast
Philippines,1,16,2009,1500,23°C,0.0 mm,Overcast
Philippines,1,16,2009,1800,22°C,0.0 mm,Overcast
Philippines,1,17,2009,600,23°C,0.0 mm,Overcast
Philippines,1,17,2009,900,24°C,0.0 mm,Cloudy
Philippines,1,17,2009,1200,24°C,0.0 mm,Overcast
Philippines,1,17,2009,1500,24°C,0.0 mm,Overcast
Philippines,1,17,2009,1800,23°C,0.0 mm,Overcast
Philippines,1,18,2009,600,24°C,0.0 mm,Overcast
Philippines,1,18,2009,900,26°C,0.0 mm,Cloudy
Philippines,1,18,2009,1200,26°C,0.0 mm,Cloudy
Philippines,1,18,2009,1500,25°C,0.0 mm,Overcast
Philippines,1,18,2009,1800,24°C,0.0 mm,Overcast
Philippines,1,19,2009,600,24°C,0.0 mm,Overcast
Philippines,1,19,2009,900,25°C,0.0 mm,Overcast
Philippines,1,19,2009,1200,26°C,0.0 mm,Cloudy
Philippines,1,19,2009,1500,26°C,0.0 mm,Partly cloudy
Philippines,1,19,2009,1800,24°C,0.0 mm,Partly cloudy
Philippines,1,20,2009,600,25°C,0.0 mm,Partly cloudy
Philippines,1,20,2009,900,27°C,0.0 mm,Cloudy
Philippines,1,20,2009,1200,27°C,0.0 mm,Cloudy
Philippines,1,20,2009,1500,26°C,0.0 mm,Cloudy
Philippines,1,20,2009,1800,24°C,0.0 mm,Cloudy
Philippines,1,21,2009,600,25°C,0.0 mm,Partly cloudy
Philippines,1,21,2009,900,27°C,0.0 mm,Partly cloudy
Philippines,1,21,2009,1200,28°C,0.1 mm,Patchy rain possible
Philippines,1,21,2009,1500,26°C,0.2 mm,Patchy rain possible
Philippines,1,21,2009,1800,24°C,0.0 mm,Partly cloudy
Philippines,1,22,2009,600,25°C,0.0 mm,Cloudy
Philippines,1,22,2009,900,28°C,0.0 mm,Partly cloudy
Philippines,1,22,2009,1200,28°C,0.0 mm,Partly cloudy
Philippines,1,22,2009,1500,27°C,0.2 mm,Patchy rain possible
Philippines,1,22,2009,1800,25°C,0.0 mm,Partly cloudy
Philippines,1,23,2009,600,25°C,0.0 mm,Partly cloudy
Philippines,1,23,2009,900,27°C,0.0 mm,Partly cloudy
Philippines,1,23,2009,1200,29°C,0.0 mm,Partly cloudy
Philippines,1,23,2009,1500,27°C,1.5 mm,Moderate or heavy rain shower
Philippines,1,23,2009,1800,25°C,1.1 mm,Heavy rain at times
Philippines,1,24,2009,600,24°C,0.0 mm,Cloudy
Philippines,1,24,2009,900,25°C,0.0 mm,Cloudy
Philippines,1,24,2009,1200,26°C,0.0 mm,Overcast
Philippines,1,24,2009,1500,25°C,0.0 mm,Overcast
Philippines,1,24,2009,1800,24°C,0.0 mm,Overcast
Philippines,1,25,2009,600,23°C,0.0 mm,Overcast
Philippines,1,25,2009,900,24°C,0.0 mm,Overcast
Philippines,1,25,2009,1200,25°C,0.0 mm,Overcast
Philippines,1,25,2009,1500,24°C,0.0 mm,Overcast
Philippines,1,25,2009,1800,22°C,0.0 mm,Overcast
Philippines,1,26,2009,600,23°C,0.0 mm,Overcast
Philippines,1,26,2009,900,24°C,0.0 mm,Overcast
Philippines,1,26,2009,1200,25°C,0.0 mm,Overcast
Philippines,1,26,2009,1500,25°C,0.0 mm,Cloudy
Philippines,1,26,2009,1800,24°C,0.0 mm,Overcast
Philippines,1,27,2009,600,24°C,0.2 mm,Patchy rain possible
Philippines,1,27,2009,900,24°C,0.4 mm,Patchy rain possible
Philippines,1,27,2009,1200,25°C,0.2 mm,Patchy rain possible
Philippines,1,27,2009,1500,25°C,0.0 mm,Clear
Philippines,1,27,2009,1800,24°C,0.1 mm,Patchy rain possible
Philippines,1,28,2009,600,25°C,0.0 mm,Partly cloudy
Philippines,1,28,2009,900,28°C,0.0 mm,Partly cloudy
Philippines,1,28,2009,1200,28°C,0.1 mm,Patchy rain possible
Philippines,1,28,2009,1500,27°C,0.0 mm,Partly cloudy
Philippines,1,28,2009,1800,24°C,0.0 mm,Partly cloudy
Philippines,1,29,2009,600,25°C,0.0 mm,Partly cloudy
Philippines,1,29,2009,900,26°C,0.0 mm,Partly cloudy
Philippines,1,29,2009,1200,26°C,0.0 mm,Partly cloudy
Philippines,1,29,2009,1500,26°C,0.0 mm,Partly cloudy
Philippines,1,29,2009,1800,25°C,0.0 mm,Cloudy
Philippines,1,30,2009,600,24°C,0.0 mm,Clear
Philippines,1,30,2009,900,28°C,0.0 mm,Clear
Philippines,1,30,2009,1200,27°C,0.0 mm,Clear
Philippines,1,30,2009,1500,27°C,0.0 mm,Partly cloudy
Philippines,1,30,2009,1800,25°C,0.0 mm,Cloudy
Philippines,1,31,2009,600,25°C,0.0 mm,Partly cloudy
Philippines,1,31,2009,900,26°C,0.0 mm,Cloudy
Philippines,1,31,2009,1200,26°C,0.0 mm,Cloudy
Philippines,1,31,2009,1500,26°C,0.0 mm,Cloudy
Philippines,1,31,2009,1800,25°C,0.0 mm,Cloudy
Philippines,2,1,2009,600,24°C,0.0 mm,Cloudy
Philippines,2,1,2009,900,24°C,0.0 mm,Cloudy
Philippines,2,1,2009,1200,26°C,0.0 mm,Overcast
Philippines,2,1,2009,1500,25°C,0.0 mm,Overcast
Philippines,2,1,2009,1800,23°C,0.0 mm,Cloudy
Philippines,2,2,2009,600,24°C,0.0 mm,Partly cloudy
Philippines,2,2,2009,900,26°C,0.0 mm,Partly cloudy
Philippines,2,2,2009,1200,27°C,0.0 mm,Partly cloudy
Philippines,2,2,2009,1500,25°C,0.0 mm,Clear
Philippines,2,2,2009,1800,23°C,0.0 mm,Clear
Philippines,2,3,2009,600,24°C,0.0 mm,Partly cloudy
Philippines,2,3,2009,900,26°C,0.0 mm,Clear
Philippines,2,3,2009,1200,28°C,0.0 mm,Clear
Philippines,2,3,2009,1500,26°C,0.0 mm,Clear
Philippines,2,3,2009,1800,23°C,0.0 mm,Clear
Philippines,2,4,2009,600,24°C,0.0 mm,Partly cloudy
Philippines,2,4,2009,900,26°C,0.0 mm,Cloudy
Philippines,2,4,2009,1200,27°C,0.0 mm,Partly cloudy
Philippines,2,4,2009,1500,26°C,0.0 mm,Partly cloudy
Philippines,2,4,2009,1800,23°C,0.0 mm,Partly cloudy
Philippines,2,5,2009,600,23°C,1.3 mm,Heavy rain at times
Philippines,2,5,2009,900,23°C,1.3 mm,Heavy rain at times
Philippines,2,5,2009,1200,27°C,0.0 mm,Partly cloudy
Philippines,2,5,2009,1500,26°C,0.0 mm,Partly cloudy
Philippines,2,5,2009,1800,23°C,0.0 mm,Partly cloudy
Philippines,2,6,2009,600,23°C,0.0 mm,Cloudy
Philippines,2,6,2009,900,27°C,0.1 mm,Patchy rain possible
Philippines,2,6,2009,1200,27°C,0.0 mm,Partly cloudy
Philippines,2,6,2009,1500,26°C,0.2 mm,Patchy rain possible
Philippines,2,6,2009,1800,24°C,0.0 mm,Cloudy
Philippines,2,7,2009,600,24°C,0.0 mm,Cloudy
Philippines,2,7,2009,900,27°C,0.0 mm,Cloudy
Philippines,2,7,2009,1200,26°C,0.0 mm,Partly cloudy
Philippines,2,7,2009,1500,24°C,0.2 mm,Patchy rain possible
Philippines,2,7,2009,1800,24°C,0.0 mm,Partly cloudy
Philippines,2,8,2009,600,24°C,0.0 mm,Overcast
Philippines,2,8,2009,900,27°C,0.0 mm,Cloudy
Philippines,2,8,2009,1200,27°C,0.0 mm,Cloudy
Philippines,2,8,2009,1500,27°C,0.0 mm,Partly cloudy
Philippines,2,8,2009,1800,24°C,0.0 mm,Partly cloudy
Philippines,2,9,2009,600,25°C,0.0 mm,Clear
Philippines,2,9,2009,900,27°C,0.0 mm,Partly cloudy
Philippines,2,9,2009,1200,27°C,0.0 mm,Partly cloudy
Philippines,2,9,2009,1500,26°C,0.0 mm,Partly cloudy
Philippines,2,9,2009,1800,24°C,0.0 mm,Partly cloudy
Philippines,2,10,2009,600,25°C,0.0 mm,Partly cloudy
Philippines,2,10,2009,900,28°C,0.0 mm,Clear
Philippines,2,10,2009,1200,29°C,0.0 mm,Clear
Philippines,2,10,2009,1500,28°C,0.0 mm,Clear
Philippines,2,10,2009,1800,25°C,0.0 mm,Clear
Philippines,2,11,2009,600,24°C,0.0 mm,Clear
Philippines,2,11,2009,900,27°C,0.0 mm,Clear
